instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1000,4,9,BestCase,S,1.8624996300786734e-05,"{1: True, 2: True, 3: False, 4: True}"
1001,4,9,BestCase,U,2.579099964350462e-05,"{1: True, 2: False, 3: True, 4: False}"
1002,4,9,BestCase,S,3.5840203054249287e-06,"{1: True, 2: True, 3: True, 4: False}"
1003,4,9,BestCase,S,1.7207989003509283e-05,"{1: False, 2: True, 3: False, 4: True}"
1004,4,9,BestCase,U,2.345896791666746e-05,"{1: True, 2: False, 3: False, 4: True}"
1005,4,9,BestCase,U,2.2916006855666637e-05,"{1: True, 2: False, 3: False, 4: True}"
1006,4,9,BestCase,U,2.5374989490956068e-05,"{1: True, 2: True, 3: False, 4: True}"
1007,4,9,BestCase,S,2.0249979570508003e-05,"{1: False, 2: False, 3: True, 4: True}"
1008,4,9,BestCase,S,1.6707985196262598e-05,"{1: False, 2: True, 3: False, 4: True}"
1009,4,9,BestCase,S,6.62502134218812e-06,"{1: True, 2: True, 3: False, 4: False}"
1010,8,18,BestCase,S,0.00019195897039026022,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
1011,8,18,BestCase,S,0.00012224999954923987,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False}"
1012,8,18,BestCase,S,0.00041254196548834443,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True}"
1013,8,18,BestCase,U,0.0006763749988749623,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True}"
1014,8,18,BestCase,U,0.000675041985232383,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
1015,8,18,BestCase,U,0.0007450419943779707,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
1016,8,18,BestCase,U,0.0006984999636188149,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False}"
1017,8,18,BestCase,S,0.00024083297466859221,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False}"
1018,8,18,BestCase,S,0.000246542040258646,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: False, 7: True, 8: False}"
1019,8,18,BestCase,U,0.0006866250187158585,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False}"
1020,12,20,BestCase,U,0.01303016603924334,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: False, 11: True, 12: True}"
1021,12,20,BestCase,S,0.004718375043012202,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True}"
1022,12,20,BestCase,S,0.003643459000159055,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True}"
1023,12,20,BestCase,S,0.00015791697660461068,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: True, 10: True, 11: False, 12: False}"
1024,12,20,BestCase,S,0.002461792028043419,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True}"
1025,12,20,BestCase,S,0.007297625008504838,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True}"
1026,12,20,BestCase,U,0.012898832967039198,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True}"
1027,12,20,BestCase,U,0.013181707996409386,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: False, 11: False, 12: False}"
1028,12,20,BestCase,U,0.012899791006930172,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: False, 8: False, 9: True, 10: False, 11: True, 12: True}"
1029,12,20,BestCase,U,0.012921292043756694,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: True}"
1030,16,30,BestCase,S,0.147962249990087,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: False, 15: True, 16: True}"
1031,16,30,BestCase,U,0.29244912503054366,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: False, 15: True, 16: False}"
1032,16,30,BestCase,S,0.03435616701608524,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: False, 11: True, 12: True, 13: True, 14: False, 15: False, 16: True}"
1033,16,30,BestCase,S,0.08843670797068626,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False}"
1034,16,30,BestCase,U,0.2999134169658646,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: True, 16: True}"
1035,16,30,BestCase,S,0.2767599580110982,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True, 16: False}"
1036,16,30,BestCase,U,0.2955391249852255,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: True, 16: True}"
1037,16,30,BestCase,S,0.06733574997633696,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: True, 8: False, 9: True, 10: False, 11: False, 12: True, 13: True, 14: True, 15: True, 16: False}"
