instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BestCase,U,4.220899427309632e-05,"{1: True, 2: True, 3: False, 4: False}"
2,4,10,BestCase,S,1.7000013031065464e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BestCase,U,2.7999980375170708e-05,"{1: True, 2: False, 3: True, 4: False}"
4,4,10,BestCase,S,3.4580007195472717e-06,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BestCase,S,2.1042011212557554e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BestCase,S,2.0840088836848736e-06,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BestCase,S,2.3083004634827375e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BestCase,U,2.5667017325758934e-05,"{1: True, 2: False, 3: True, 4: False}"
9,4,10,BestCase,U,2.5541987270116806e-05,"{1: True, 2: False, 3: False, 4: False}"
10,4,10,BestCase,U,2.5874993298202753e-05,"{1: True, 2: False, 3: False, 4: True}"
11,8,16,BestCase,U,0.0006242080125957727,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: False, 8: True}"
12,8,16,BestCase,U,0.0006270420271903276,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
13,8,16,BestCase,S,0.00027241703355684876,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BestCase,S,0.0003950839745812118,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BestCase,U,0.0006156670278869569,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
16,8,16,BestCase,U,0.0006793340435251594,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: False}"
17,8,16,BestCase,S,0.0003323329729028046,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BestCase,U,0.0006168329855427146,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True}"
19,8,16,BestCase,S,0.00033949996577575803,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BestCase,S,4.3666979763656855e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BestCase,S,0.0009998750174418092,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BestCase,S,0.006820083013735712,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BestCase,U,0.015095332986675203,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: True, 11: True, 12: True}"
24,12,24,BestCase,U,0.0150724159902893,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: False, 11: True, 12: False}"
25,12,24,BestCase,S,0.0040333340293727815,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True}"
26,12,24,BestCase,U,0.015158709022216499,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: False, 10: True, 11: True, 12: False}"
27,12,24,BestCase,U,0.014901667018420994,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: False, 10: True, 11: True, 12: True}"
28,12,24,BestCase,S,0.005200124986004084,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BestCase,U,0.015129499952308834,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: True, 12: True}"
30,12,24,BestCase,S,0.01171033299760893,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BestCase,S,0.12862425000639632,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BestCase,U,0.30717008298961446,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: False, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
33,16,32,BestCase,S,0.20662258297670633,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BestCase,S,0.0030286250403150916,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BestCase,U,0.3067882920149714,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: True, 14: True, 15: True, 16: True}"
36,16,32,BestCase,S,0.043677916983142495,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BestCase,U,0.31470937497215346,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
