instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1000,4,9,BruteForce,S,1.3792014215141535e-05,"{1: True, 2: True, 3: False, 4: True}"
1001,4,9,BruteForce,U,1.7749960534274578e-05,{}
1002,4,9,BruteForce,S,2.9589864425361156e-06,"{1: True, 2: True, 3: True, 4: False}"
1003,4,9,BruteForce,S,1.3166980352252722e-05,"{1: False, 2: True, 3: False, 4: True}"
1004,4,9,BruteForce,U,1.3792014215141535e-05,{}
1005,4,9,BruteForce,U,1.1165975593030453e-05,{}
1006,4,9,BruteForce,U,1.8167018424719572e-05,{}
1007,4,9,BruteForce,S,1.0166957508772612e-05,"{1: False, 2: False, 3: True, 4: True}"
1008,4,9,BruteForce,S,9.540992323309183e-06,"{1: False, 2: True, 3: False, 4: True}"
1009,4,9,BruteForce,S,4.166970029473305e-06,"{1: True, 2: True, 3: False, 4: False}"
1010,8,18,BruteForce,S,6.816699169576168e-05,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
1011,8,18,BruteForce,S,7.524999091401696e-05,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False}"
1012,8,18,BruteForce,S,0.0001700000138953328,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True}"
1013,8,18,BruteForce,U,0.0002477919915691018,{}
1014,8,18,BruteForce,U,0.000280165986623615,{}
1015,8,18,BruteForce,U,0.00024274998577311635,{}
1016,8,18,BruteForce,U,0.0003311249893158674,{}
1017,8,18,BruteForce,S,0.0001040829811245203,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False}"
1018,8,18,BruteForce,S,0.00011741695925593376,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: False, 7: True, 8: False}"
1019,8,18,BruteForce,U,0.00022683304268866777,{}
1020,12,20,BruteForce,U,0.005058542010374367,{}
1021,12,20,BruteForce,S,0.0018017080146819353,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True}"
1022,12,20,BruteForce,S,0.0017158329719677567,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True}"
1023,12,20,BruteForce,S,0.00011874997289851308,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: True, 10: True, 11: False, 12: False}"
1024,12,20,BruteForce,S,0.0011753750150091946,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True}"
