instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1000,4,9,BruteForce,S,1.4291028492152691e-05,"{1: True, 2: True, 3: False, 4: True}"
1001,4,9,BruteForce,U,1.7000013031065464e-05,{}
1002,4,9,BruteForce,S,2.7909991331398487e-06,"{1: True, 2: True, 3: True, 4: False}"
1003,4,9,BruteForce,S,1.2832984793931246e-05,"{1: False, 2: True, 3: False, 4: True}"
1004,4,9,BruteForce,U,1.3165990822017193e-05,{}
1005,4,9,BruteForce,U,1.0875053703784943e-05,{}
1006,4,9,BruteForce,U,1.7707992810755968e-05,{}
1007,4,9,BruteForce,S,1.0124989785254002e-05,"{1: False, 2: False, 3: True, 4: True}"
1008,4,9,BruteForce,S,9.374984074383974e-06,"{1: False, 2: True, 3: False, 4: True}"
1009,4,9,BruteForce,S,4.082976374775171e-06,"{1: True, 2: True, 3: False, 4: False}"
1010,8,18,BruteForce,S,6.745802238583565e-05,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
1011,8,18,BruteForce,S,7.470796117559075e-05,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False}"
1012,8,18,BruteForce,S,0.00016758398851379752,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True}"
1013,8,18,BruteForce,U,0.0002454170025885105,{}
1014,8,18,BruteForce,U,0.00027966697234660387,{}
1015,8,18,BruteForce,U,0.0002425829879939556,{}
1016,8,18,BruteForce,U,0.0003307920414954424,{}
1017,8,18,BruteForce,S,0.00010454101720824838,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False}"
1018,8,18,BruteForce,S,0.00012683297973126173,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: False, 7: True, 8: False}"
1019,8,18,BruteForce,U,0.00022899999748915434,{}
1020,12,20,BruteForce,U,0.005210625007748604,{}
1021,12,20,BruteForce,S,0.0018318330403417349,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True}"
1022,12,20,BruteForce,S,0.001713500008918345,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True}"
1023,12,20,BruteForce,S,0.00011270900722593069,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: True, 10: True, 11: False, 12: False}"
1024,12,20,BruteForce,S,0.0011335000162944198,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True}"
1025,12,20,BruteForce,S,0.003056582994759083,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True}"
1026,12,20,BruteForce,U,0.005355375004000962,{}
1027,12,20,BruteForce,U,0.005278167023789138,{}
1028,12,20,BruteForce,U,0.005106583994347602,{}
1029,12,20,BruteForce,U,0.00543525000102818,{}
1030,16,30,BruteForce,S,0.04731945798266679,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: False, 15: True, 16: True}"
1031,16,30,BruteForce,U,0.08594845799962059,{}
1032,16,30,BruteForce,S,0.011247583024669439,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: False, 11: True, 12: True, 13: True, 14: False, 15: False, 16: True}"
1033,16,30,BruteForce,S,0.02798920898931101,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False}"
1034,16,30,BruteForce,U,0.09056416602106765,{}
1035,16,30,BruteForce,S,0.09061399998608977,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True, 16: False}"
1036,16,30,BruteForce,U,0.09819370904006064,{}
1037,16,30,BruteForce,S,0.018844167003408074,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: True, 8: False, 9: True, 10: False, 11: False, 12: True, 13: True, 14: True, 15: True, 16: False}"
1038,16,30,BruteForce,U,0.09614220896037295,{}
