instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,2.095900708809495e-05,{}
2,4,10,BruteForce,S,1.1791009455919266e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,1.487502595409751e-05,{}
4,4,10,BruteForce,S,3.1249946914613247e-06,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BruteForce,S,1.025001984089613e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,2.4170149117708206e-06,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BruteForce,S,1.2999982573091984e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BruteForce,U,1.2208998668938875e-05,{}
9,4,10,BruteForce,U,1.2625008821487427e-05,{}
10,4,10,BruteForce,U,1.2083037290722132e-05,{}
11,8,16,BruteForce,U,0.00030274997698143125,{}
12,8,16,BruteForce,U,0.0002800829824991524,{}
13,8,16,BruteForce,S,0.0001176669611595571,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BruteForce,S,0.00016287504695355892,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.0002999170101247728,{}
16,8,16,BruteForce,U,0.00026308302767574787,{}
17,8,16,BruteForce,S,0.00012729200534522533,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.0002655420103110373,{}
19,8,16,BruteForce,S,0.00014416599879041314,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,2.037500962615013e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.0003525000065565109,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BruteForce,S,0.002418666030280292,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.005125416966620833,{}
24,12,24,BruteForce,U,0.005240166967269033,{}
25,12,24,BruteForce,S,0.0016202909755520523,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True}"
26,12,24,BruteForce,U,0.005439375003334135,{}
27,12,24,BruteForce,U,0.004886584007181227,{}
28,12,24,BruteForce,S,0.0017494999920018017,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.005375874985475093,{}
30,12,24,BruteForce,S,0.004178875009529293,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BruteForce,S,0.03907829202944413,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BruteForce,U,0.09059429098851979,{}
33,16,32,BruteForce,S,0.06647937500383705,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BruteForce,S,0.001033709035255015,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BruteForce,U,0.08263329201145098,{}
36,16,32,BruteForce,S,0.014626916963607073,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BruteForce,U,0.08668804203625768,{}
