instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,2.091604983434081e-05,{}
2,4,10,BruteForce,S,1.2457952834665775e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,1.4833000022917986e-05,{}
4,4,10,BruteForce,S,3.333028871566057e-06,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BruteForce,S,1.0417017620056868e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,2.4170149117708206e-06,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BruteForce,S,1.291697844862938e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BruteForce,U,1.2167030945420265e-05,{}
9,4,10,BruteForce,U,1.2791017070412636e-05,{}
10,4,10,BruteForce,U,1.2042000889778137e-05,{}
11,8,16,BruteForce,U,0.000304084038361907,{}
12,8,16,BruteForce,U,0.0002800829824991524,{}
13,8,16,BruteForce,S,0.00011741701746359468,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BruteForce,S,0.000161083007697016,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.0003023750032298267,{}
16,8,16,BruteForce,U,0.00024966703495010734,{}
17,8,16,BruteForce,S,0.00012974999845027924,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.00024941598530858755,{}
19,8,16,BruteForce,S,0.00014804198872298002,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,2.0665989723056555e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.0003512080293148756,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BruteForce,S,0.00243312498787418,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.0052230830187909305,{}
24,12,24,BruteForce,U,0.005067875026725233,{}
25,12,24,BruteForce,S,0.0016215000068768859,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True}"
26,12,24,BruteForce,U,0.005628707993309945,{}
27,12,24,BruteForce,U,0.004773665976244956,{}
28,12,24,BruteForce,S,0.001779374957550317,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.0053900420316495,{}
30,12,24,BruteForce,S,0.004179000039584935,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BruteForce,S,0.03900770901236683,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BruteForce,U,0.09185199998319149,{}
33,16,32,BruteForce,S,0.06682695902418345,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BruteForce,S,0.0010449999826960266,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BruteForce,U,0.08225795801263303,{}
36,16,32,BruteForce,S,0.014434667013119906,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BruteForce,U,0.08554287499282509,{}
